 density(rat); density(python); distance(rat, python); density(cheese_0); distance(rat, cheese_0); distance(python, cheese_0); density(cheese_1); distance(rat, cheese_1); distance(python, cheese_1); density(cheese_2); distance(rat, cheese_2); distance(python, cheese_2); density(cheese_3); distance(rat, cheese_3); distance(python, cheese_3); density(cheese_4); distance(rat, cheese_4); distance(python, cheese_4); density(cheese_5); distance(rat, cheese_5); distance(python, cheese_5); density(cheese_6); distance(rat, cheese_6); distance(python, cheese_6); density(cheese_7); distance(rat, cheese_7); distance(python, cheese_7); density(cheese_8); distance(rat, cheese_8); distance(python, cheese_8); density(cheese_9); distance(rat, cheese_9); distance(python, cheese_9); density(cheese_10); distance(rat, cheese_10); distance(python, cheese_10); density(cheese_11); distance(rat, cheese_11); distance(python, cheese_11); density(cheese_12); distance(rat, cheese_12); distance(python, cheese_12); density(cheese_13); distance(rat, cheese_13); distance(python, cheese_13); density(cheese_14); distance(rat, cheese_14); distance(python, cheese_14); density(cheese_15); distance(rat, cheese_15); distance(python, cheese_15); density(cheese_16); distance(rat, cheese_16); distance(python, cheese_16); density(cheese_17); distance(rat, cheese_17); distance(python, cheese_17); density(cheese_18); distance(rat, cheese_18); distance(python, cheese_18); density(cheese_19); distance(rat, cheese_19); distance(python, cheese_19); density(cheese_20); distance(rat, cheese_20); distance(python, cheese_20)
2.2014845233885483;2.6587013547691294;11.0;1.7115491809532055;5.0;14.0;1.9648920523920523;7.0;16.0;1.660065648146143;8.0;17.0;1.3847801879922623;10.0;21.0;1.4470472194307835;12.0;23.0;0.996774700935515;19.0;30.0;3.129976586880612;6.0;9.0;1.469263454983269;15.0;22.0;1.7789426646624784;14.0;17.0;2.8819077980842684;5.0;6.0;3.559070869790684;7.0;8.0;1.9586764542646895;13.0;14.0;2.958423520923521;11.0;10.0;2.8081639836435244;12.0;9.0;2.995221342125367;9.0;6.0;1.4558155083077682;20.0;13.0;2.2064059306706363;13.0;8.0;1.6830479161361516;17.0;10.0;2.867131813199588;11.0;4.0;3.0976723468102776;10.0;3.0;3.37995148126727;9.0;2.0
2.1666099035596957;2.8749142799065392;16.0;1.8145430664393516;2.0;14.0;1.3311252376773564;4.0;18.0;1.8384855615660567;4.0;14.0;1.4571441415481663;7.0;17.0;1.8508563817819013;10.0;18.0;2.0047363097285693;10.0;16.0;1.4907327997861932;19.0;20.0;1.878099678099678;10.0;10.0;1.5519507094735927;19.0;19.0;1.0767939210043185;27.0;17.0;2.187873134777159;20.0;10.0;2.385624228712464;23.0;11.0;2.289341241833502;23.0;11.0;1.708794268677833;19.0;9.0;2.670755150646456;18.0;8.0;2.68504025065137;17.0;7.0;3.3040005745888106;20.0;8.0;2.0351525781243778;19.0;7.0;3.3142309558869667;19.0;7.0;2.584985276161747;18.0;6.0;1.9996788728986876;15.0;1.0
4.2547979797979805;2.311178587494377;8.0;3.24963924963925;1.0;7.0;2.678907203907204;4.0;12.0;4.165390165390166;3.0;8.0;3.913936063936064;4.0;9.0;2.82857501975149;7.0;15.0;3.891122766122767;6.0;12.0;3.389657564657565;3.0;6.0;2.8276477607359967;7.0;13.0;4.361263736263735;7.0;13.0;3.517139804639805;8.0;14.0;1.7004301254301255;11.0;19.0;3.2300976800976806;3.0;5.0;3.37479365600075;9.0;13.0;2.974961558049793;10.0;14.0;2.8456612831612835;8.0;10.0;2.300084534488559;10.0;10.0;1.6140012019807417;14.0;14.0;2.565823065823066;8.0;8.0;3.303380361468596;10.0;7.0;3.702510398098634;10.0;6.0;3.272731435231436;9.0;5.0
2.037644708232943;1.9471083707624308;13.0;1.7581305948953008;3.0;14.0;2.5079226329226327;7.0;20.0;2.438632609220844;9.0;20.0;2.848043111858902;11.0;24.0;1.526922505598976;10.0;21.0;3.839906057994293;12.0;25.0;4.713962834551069;13.0;26.0;4.693975365879391;13.0;26.0;1.445980070429861;5.0;10.0;3.731689095504885;14.0;27.0;3.223669337485126;14.0;27.0;4.954488518304308;14.0;27.0;2.199833017224322;15.0;26.0;2.7095612233770128;16.0;27.0;2.3972729397651995;16.0;27.0;2.962265642853878;17.0;28.0;3.191108077746009;18.0;29.0;1.787583220320824;20.0;31.0;1.8444666147042188;20.0;31.0;1.2358821864933052;8.0;9.0;0.9609972596513194;13.0;1.0
2.157668513976564;3.48962148962149;13.0;2.0102235183117534;3.0;12.0;1.7511746279699574;4.0;15.0;1.8998532298454895;7.0;14.0;3.2110134146898863;8.0;13.0;2.43015902077014;10.0;15.0;3.1134161590043945;9.0;12.0;1.9212545624310329;10.0;9.0;2.932704284020073;12.0;9.0;1.42601039162151;17.0;12.0;3.839487310075545;10.0;7.0;3.555032467532468;9.0;6.0;1.8899737517384576;12.0;8.0;2.4284755878796127;17.0;10.0;2.497408963585434;19.0;10.0;2.5850934583132723;18.0;7.0;2.1776999000834647;21.0;8.0;1.7381908725948974;19.0;6.0;2.933012820512821;14.0;3.0;2.748578219166454;16.0;3.0;2.7749139749139755;11.0;2.0;2.6907429988312344;15.0;2.0
2.9306489262371613;2.341010378510379;6.0;1.9415195915195909;4.0;10.0;4.123095368683604;3.0;7.0;2.913595614911405;3.0;7.0;4.741443278943279;4.0;8.0;3.938210808799045;5.0;9.0;3.3855269730269737;6.0;10.0;2.8475861556743918;9.0;13.0;1.922643451319922;10.0;14.0;2.3066682285722533;12.0;16.0;1.9346412359570253;14.0;18.0;1.701996511400536;14.0;18.0;1.6349718979514376;16.0;20.0;1.5998370910135618;8.0;10.0;2.558204221183761;16.0;20.0;2.4109208743799533;17.0;21.0;1.1432557712275708;20.0;24.0;1.6947851639717977;9.0;9.0;1.881720164939979;7.0;7.0;2.2326441532323886;9.0;9.0;2.0539639282286344;9.0;7.0;1.6251035799948843;8.0;2.0
2.789681968358438;2.2871478796401394;3.0;1.6234814592012732;1.0;4.0;1.67540515040515;8.0;11.0;3.666082528582529;9.0;10.0;4.299451936951936;10.0;11.0;2.2062594268476623;11.0;12.0;3.5607216313098675;11.0;12.0;2.292581906397696;12.0;13.0;2.95248166865814;12.0;13.0;2.243674203557768;13.0;14.0;2.2489462721660862;14.0;15.0;2.4459517666715804;15.0;16.0;2.4034496334418938;16.0;17.0;2.2291253751931497;17.0;18.0;2.5146208753406896;18.0;19.0;1.805751144566934;21.0;22.0;1.2805620923574217;18.0;17.0;1.54425007677296;17.0;16.0;1.972180494084519;12.0;11.0;2.966949613853638;8.0;7.0;2.822496376172846;7.0;6.0;1.5784325753366002;5.0;2.0
2.2444267720583517;2.910404872904873;8.0;1.926935958143052;4.0;10.0;2.0258721670486373;5.0;11.0;2.2740794722992868;4.0;8.0;1.6356669186693416;7.0;13.0;2.095435893655708;7.0;10.0;1.4791165210205457;10.0;14.0;1.657840592724157;16.0;16.0;1.7862918943801294;6.0;6.0;2.4135437060359664;13.0;12.0;3.104229104229104;10.0;9.0;3.2825147075147085;9.0;8.0;1.932511341079116;21.0;15.0;2.624379172598988;16.0;11.0;2.555950612854638;19.0;13.0;1.3723937743206822;19.0;13.0;2.012863362128068;18.0;12.0;2.7754291316362263;18.0;12.0;1.9895844207915143;18.0;12.0;3.506449922626393;14.0;9.0;3.3536186036186035;13.0;8.0;1.803691161779397;9.0;1.0
2.807585746315724;2.933600141688377;16.0;1.6673635259313009;1.0;15.0;1.800344827619696;2.0;16.0;1.7030088017081555;5.0;17.0;1.8129174746821808;8.0;10.0;1.3087223865932307;14.0;14.0;1.643044174831764;14.0;13.0;1.8961033247797956;12.0;10.0;1.7084764478727328;14.0;10.0;2.312909340401601;19.0;11.0;1.8406540956463555;14.0;8.0;1.7975153787224722;24.0;12.0;2.5641398490234133;19.0;9.0;2.654485688889714;19.0;7.0;2.004963500551736;22.0;8.0;2.7971324427206787;18.0;6.0;2.874974379130389;23.0;7.0;2.874974379130389;23.0;7.0;3.5214026026096965;22.0;6.0;2.7938603063603065;16.0;4.0;2.1546512096434696;18.0;4.0;2.340346173434409;16.0;2.0
1.9208454402494648;2.0934236515118863;12.0;1.3565065183018474;2.0;14.0;1.3723674403698634;7.0;15.0;1.8441270717586504;8.0;12.0;2.103315148903384;11.0;13.0;1.9522161447084048;16.0;18.0;2.276304148208173;18.0;20.0;1.219572529966257;19.0;21.0;1.6557307142984892;22.0;24.0;2.2261566649724545;20.0;20.0;1.9407291238173592;11.0;9.0;2.130785717550423;17.0;13.0;1.9026215889373783;25.0;17.0;2.0146173831851586;24.0;16.0;2.380141597532902;22.0;14.0;2.149506954398259;20.0;12.0;2.3549745576061367;18.0;10.0;1.668468853352418;8.0;4.0;1.987490109873674;21.0;9.0;1.4531168667933372;10.0;4.0;1.7968299530370466;20.0;8.0;1.5645048649844044;11.0;4.0
